Customer_ID,Items
CUST_001,"onions,ice_cream,juice,chicken,carrots,pasta,cookies,oil,bananas,apples,beef,rice,muffins,tomatoes"
CUST_002,"wine,bread,pasta,butter,tomatoes,eggs,milk"
CUST_003,"bread,pasta,cookies,chips,frozen_pizza,grapes,soda,tomatoes,milk"
CUST_004,"wine,bread,pasta,cookies,bananas,turkey,tomatoes,eggs,milk"
CUST_005,"beer,bread,pasta,cookies,chips,frozen_pizza,butter,soda,coffee,tomatoes,milk"
CUST_006,"onions,ice_cream,juice,chicken,bread,carrots,pasta,cookies,oil,bananas,apples,beef,rice,butter,tomatoes,eggs,milk"
CUST_007,"onions,ice_cream,juice,chicken,bread,carrots,pasta,cookies,oil,bananas,apples,beef,rice,butter,eggs,milk"
CUST_008,"onions,chicken,carrots,pasta,oil,bananas,apples,beef,rice,tomatoes"
CUST_009,"beer,bread,pasta,chips,frozen_pizza,butter,soda,coffee,milk"
CUST_010,"onions,ice_cream,juice,bread,carrots,pasta,cookies,oil,bananas,apples,rice,butter,eggs,milk"
CUST_011,"ice_cream,juice,chicken,bread,cookies,beef,butter,eggs,milk"
CUST_012,"pasta,beans,sugar,bananas,rice,coffee,tomatoes"
CUST_013,"chicken,fish"
CUST_014,"bagels,chicken,bread,fish,cheese,lettuce,cookies,tomatoes,eggs,milk"
CUST_015,"onions,ice_cream,juice,chicken,bread,carrots,pasta,cookies,oil,bananas,apples,beef,rice,butter,tomatoes,eggs,milk"
CUST_016,"wine,chicken,bread,fish,pasta,cheese,lettuce,beans,cookies,pizza_dough,butter,tomatoes,eggs,milk"
CUST_017,"onions,chicken,bread,carrots,cookies,bananas,apples,beef,butter,eggs,milk"
CUST_018,"onions,chicken,bread,carrots,pasta,oil,bananas,apples,beef,rice,butter,tomatoes,eggs,milk"
CUST_019,"onions,ice_cream,juice,chicken,bread,carrots,pasta,cookies,oil,bananas,apples,beef,rice,butter,tomatoes,eggs,milk"
CUST_020,"wine,beer,bread,pasta,cookies,frozen_pizza,butter,coffee,tomatoes,milk"
CUST_021,"wine,chicken,bread,fish,pasta,butter,tomatoes,eggs,milk"
CUST_022,"bread,eggs,cookies,milk"
CUST_023,"strawberries,pasta,chips,frozen_pizza,soda,tomatoes"
CUST_024,"pork,pasta,beans,cookies,bananas,muffins,rice,soda,coffee,tomatoes,eggs"
