Customer_ID,Items
CUSTOMER_001,"shampoo,candle,plant_pot,toaster"
CUSTOMER_002,"card_game,toy_car,coloring_book,lamp,puzzle"
CUSTOMER_003,"stuffed_animal,doll"
CUSTOMER_004,"watch,nail_polish,hat,jeans"
CUSTOMER_005,"dress,jacket,handbag"
CUSTOMER_006,"rug,blender,knife_set"
CUSTOMER_007,"dress,face_mask,hat,jacket,jeans"
CUSTOMER_008,"tablet,charger,laptop,keyboard,mouse"
CUSTOMER_009,"tennis_ball,sunglasses,hat"
CUSTOMER_010,"headphones,mouse,charger,smartphone"
CUSTOMER_011,"rug,sunglasses,handbag"
CUSTOMER_012,"charger,poetry,speaker,headphones,jeans"
CUSTOMER_013,"pot,cookbook,pan,vase,cutting_board"
CUSTOMER_014,"dumbbells,bike_helmet,swimsuit,tennis_ball"
CUSTOMER_015,"charger,t_shirt,sunglasses,jacket,smartphone,jeans"
CUSTOMER_016,"coffee_maker,mirror,jacket,knife_set"
CUSTOMER_017,"shampoo,mascara,hat"
CUSTOMER_018,"pot,water_bottle,foundation,pillow,plant_pot"
CUSTOMER_019,"blanket,cushion,vase,cutting_board,picture_frame"
CUSTOMER_020,"blanket,self_help,poetry,travel_guide,history_book"
CUSTOMER_021,"lipstick,jeans,handbag,watch,fitness_tracker"
CUSTOMER_022,"tablet,mouse,charger,spatula"
CUSTOMER_023,"history_book,biography"
CUSTOMER_024,"blanket,self_help,history_book,cookbook"
CUSTOMER_025,"rug,pan,candle,nail_polish,plant_pot"
CUSTOMER_026,"keyboard,charger,smartphone"
CUSTOMER_027,"keyboard,mouse"
CUSTOMER_028,"dress,sunglasses"
CUSTOMER_029,"foundation,sunglasses,handbag,plant_pot,jeans"
CUSTOMER_030,"dumbbells,headphones,running_shoes"
CUSTOMER_031,"dumbbells,blanket,knife_set,cutting_board"
CUSTOMER_032,"comic_book,magazine,travel_guide,textbook,pillow,headphones"
CUSTOMER_033,"camera,travel_guide,mouse,smartwatch"
CUSTOMER_034,"laptop,mouse,smartwatch"
CUSTOMER_035,"rug,candle,lipstick"
CUSTOMER_036,"mirror,mascara,jacket,t_shirt"
CUSTOMER_037,"tablet,charger,smartphone"
CUSTOMER_038,"dress,resistance_bands,watch"
CUSTOMER_039,"card_game,puzzle,coloring_book"
CUSTOMER_040,"charger,keyboard,mouse,smartwatch,smartphone"
CUSTOMER_041,"headphones,speaker"
CUSTOMER_042,"sunglasses,moisturizer,hat"
CUSTOMER_043,"self_help,novel"
CUSTOMER_044,"laptop,self_help,speaker"
CUSTOMER_045,"building_blocks,toy_car,educational_toy"
CUSTOMER_046,"cushion,handbag,moisturizer,jeans"
CUSTOMER_047,"basketball,water_bottle,running_shoes,yoga_mat,smartwatch"
CUSTOMER_048,"coloring_book,puzzle"
CUSTOMER_049,"spatula,vase,toaster"
CUSTOMER_050,"soap,sunglasses,mascara,lotion"
CUSTOMER_051,"dress,lipstick,belt"
CUSTOMER_052,"cookbook,blender,measuring_cups,spatula,picture_frame,knife_set"
CUSTOMER_053,"dress,keyboard,lotion,handbag,jeans"
CUSTOMER_054,"shampoo,cushion,nail_polish,hat,perfume"
CUSTOMER_055,"smartwatch,running_shoes,yoga_mat,water_bottle"
CUSTOMER_056,"dumbbells,smartwatch,basketball,water_bottle"
CUSTOMER_057,"basketball,headphones,fitness_tracker"
CUSTOMER_058,"lipstick,shampoo,poetry,foundation,shoes,soap"
CUSTOMER_059,"dumbbells,magazine,poetry,travel_guide,pillow,novel"
CUSTOMER_060,"action_figure,travel_guide,comic_book,novel"
CUSTOMER_061,"tablet,face_mask,nail_polish,belt,soap"
CUSTOMER_062,"tablet,charger"
CUSTOMER_063,"stuffed_animal,mirror,building_blocks,coloring_book,educational_toy"
CUSTOMER_064,"basketball,resistance_bands,running_shoes,water_bottle"
CUSTOMER_065,"candle,blanket,plant_pot,knife_set"
CUSTOMER_066,"nail_polish,watch,handbag,hat"
CUSTOMER_067,"swimsuit,bike_helmet,mixer"
CUSTOMER_068,"shampoo,lipstick,lotion,moisturizer"
CUSTOMER_069,"camera,headphones,smartphone,foundation"
CUSTOMER_070,"bike_helmet,smartwatch,fitness_tracker"
CUSTOMER_071,"rug,lamp,cushion,mixer"
CUSTOMER_072,"tennis_ball,bike_helmet,resistance_bands"
CUSTOMER_073,"blanket,mirror,running_shoes,cushion,lotion"
CUSTOMER_074,"dress,perfume,jeans"
CUSTOMER_075,"coffee_maker,candle,cushion,vase,measuring_cups"
CUSTOMER_076,"camera,smartphone"
CUSTOMER_077,"pillow,vase,moisturizer"
CUSTOMER_078,"water_bottle,running_shoes,tennis_ball,yoga_mat,smartwatch,fitness_tracker"
CUSTOMER_079,"belt,t_shirt,hat,jeans"
CUSTOMER_080,"self_help,cookbook,travel_guide,novel,spatula"
CUSTOMER_081,"water_bottle,fitness_tracker"
CUSTOMER_082,"shampoo,rug,cushion,knife_set"
CUSTOMER_083,"tennis_ball,bike_helmet,smartwatch,stuffed_animal"
CUSTOMER_084,"dumbbells,resistance_bands,water_bottle"
CUSTOMER_085,"rug,pan,cushion,vase,cutting_board"
CUSTOMER_086,"shampoo,pan,candle,cushion,lamp,plant_pot"
CUSTOMER_087,"lipstick,candle,vase,toaster,headphones"
CUSTOMER_088,"camera,headphones,charger,smartwatch"
CUSTOMER_089,"sunglasses,mascara,nail_polish"
CUSTOMER_090,"pan,blender,mixer"
CUSTOMER_091,"poetry,travel_guide,cookbook"
CUSTOMER_092,"blanket,vase,lamp,plant_pot,puzzle"
CUSTOMER_093,"travel_guide,textbook,magazine"
CUSTOMER_094,"lipstick,shampoo,candle,nail_polish,moisturizer,handbag"
CUSTOMER_095,"blender,cookbook,cutting_board"
CUSTOMER_096,"card_game,blanket,building_blocks,coloring_book,puzzle,educational_toy"
CUSTOMER_097,"candle,plant_pot"
CUSTOMER_098,"belt,mascara,jacket,handbag"
CUSTOMER_099,"belt,jeans"
CUSTOMER_100,"dumbbells,pot,coffee_maker,spatula,picture_frame,knife_set"
CUSTOMER_101,"blanket,picture_frame,plant_pot"
CUSTOMER_102,"foundation,lotion,moisturizer,soap,picture_frame"
CUSTOMER_103,"shampoo,sunglasses,watch,shoes"
CUSTOMER_104,"swimsuit,resistance_bands,bike_helmet"
CUSTOMER_105,"dress,blanket,handbag,belt"
CUSTOMER_106,"shampoo,dress,cushion,nail_polish,moisturizer,perfume"
CUSTOMER_107,"laptop,mouse,toaster"
CUSTOMER_108,"dumbbells,watch,lotion,jeans"
CUSTOMER_109,"face_mask,jacket,hat"
CUSTOMER_110,"pan,resistance_bands,running_shoes,tennis_ball,bike_helmet,smartwatch"
CUSTOMER_111,"pillow,rug,lamp,mixer"
CUSTOMER_112,"blanket,cushion,lamp,soap,picture_frame"
CUSTOMER_113,"dress,sunglasses,jacket,moisturizer"
CUSTOMER_114,"camera,headphones,magazine,smartwatch"
CUSTOMER_115,"mascara,moisturizer,shoes"
CUSTOMER_116,"basketball,running_shoes,tennis_ball,smartwatch,fitness_tracker"
CUSTOMER_117,"rug,shampoo,nail_polish,moisturizer,soap"
CUSTOMER_118,"shampoo,perfume,foundation"
CUSTOMER_119,"soap,mascara,nail_polish,shoes"
CUSTOMER_120,"rug,coffee_maker,cushion,pillow,face_mask"
CUSTOMER_121,"lipstick,lotion,foundation"
CUSTOMER_122,"blanket,coffee_maker,tennis_ball,plant_pot,measuring_cups,picture_frame"
CUSTOMER_123,"charger,laptop,keyboard,mouse,speaker"
CUSTOMER_124,"blanket,cookbook,charger,knife_set,blender,smartphone"
CUSTOMER_125,"shampoo,cushion,plant_pot"
CUSTOMER_126,"card_game,action_figure,building_blocks,cushion,moisturizer,puzzle,educational_toy"
CUSTOMER_127,"swimsuit,basketball,headphones"
CUSTOMER_128,"shampoo,mascara,nail_polish,perfume"
CUSTOMER_129,"pot,cookbook,pan,candle,toaster"
CUSTOMER_130,"t_shirt,vase,mascara,face_mask,lotion"
CUSTOMER_131,"charger,laptop,mouse,smartwatch,toaster"
CUSTOMER_132,"nail_polish,jacket,face_mask,lotion"
CUSTOMER_133,"card_game,coffee_maker,cushion,mixer,spatula,knife_set"
CUSTOMER_134,"mirror,rug,cookbook,toaster"
CUSTOMER_135,"rug,picture_frame,lotion,foundation"
CUSTOMER_136,"pot,mixer,sunglasses,measuring_cups,spatula"
CUSTOMER_137,"jacket,shoes"
CUSTOMER_138,"handbag,moisturizer,hat,watch,picture_frame"
CUSTOMER_139,"lipstick,shampoo,foundation,face_mask,belt"
CUSTOMER_140,"blanket,vase,running_shoes,plant_pot,measuring_cups,picture_frame"
CUSTOMER_141,"blender,spatula,picture_frame,cookbook"
CUSTOMER_142,"charger,smartphone,speaker"
CUSTOMER_143,"mirror,blanket,vase,measuring_cups"
CUSTOMER_144,"shampoo,action_figure,vase,lotion,moisturizer,soap"
CUSTOMER_145,"dress,face_mask,soap,jacket,perfume"
CUSTOMER_146,"rug,mirror,action_figure,pillow,picture_frame"
CUSTOMER_147,"blender,watch,jacket,t_shirt"
CUSTOMER_148,"camera,headphones,mouse,charger"
CUSTOMER_149,"water_bottle,basketball,yoga_mat,headphones"
